video_name,标注作者,start_time,end_time,description,confidence_score,quality_score,is_repeated,first_end_time,timestamp
Abuse001_x264.mp4,人工,4.0,18.0,视频中发生了暴力抢劫和虐待殴打的犯罪行为。在一个大理石大厅中，一位银色短发、身着白色衣服、黑色裤子的女士正在大厅中央的木桌前阅报，两名犯罪分子从左下角侵入，第一名身穿白色T恤的黑人抢走了女士的红色腰包，第二名身穿黑色T恤的黑人用拳头击打女士的头部，导致女士倒地并痛苦地捂脸，随后坐起。,10.0,8.0,是,23.0,2024-08-29 09:32:28
Abuse001_x264.mp4,LLM,8.0,11.0,在视频中，发生了一起暴力虐待和抢劫事件。一名短发女子穿着白色上衣和黑色裤子正坐在桌边阅读，这时两名男子走近她，其中一人穿着白色衬衫，另一人穿着黑色衬衫。穿白色衬衫的男子从她身上偷走了一件红色物品，而穿黑色衬衫的男子则向她头部猛击，导致她摔倒并受伤。这名女子随后挣扎着恢复，展示了袭击的后果。,,,,,
Abuse002_x264.mp4,人工,2.0,12.0,面包车后备箱打开，被害人从后备箱滚到马路上然后被后车压到车下，后车倒退将被害人从车底放出，面包车上的人下车扶起被害人。,10.0,8.0,否,,2024-08-29 09:46:22
Abuse002_x264.mp4,LLM,2.0,16.0,在一个繁忙的十字路口发生了一起悲剧事故。随着交通的移动，一个孩子从一辆银色货车的后箱中掉了出来，并且虽然站起来了，但随后被一辆经过的银色轿车碾压了。货车和后面的轿车停下来，一名女子和银色轿车的司机赶紧前来帮助。孩子被从车底下救出，而其他车辆则继续通过。这一事件涉及到未能确保孩子安全以及附近人员对紧急情况的应对。,,,,,
Abuse003_x264.mp4,人工,30.0,114.0,视频发生了虐待的犯罪行为。在楼道走廊中， 穿着紫色短袖T恤扎着马尾的女士推着一个轮椅。轮椅上坐着一个穿着绿色长袖上衣，腿上盖着米色毯子的老人。她推着老人在走廊走了两个来回，期间多次实施了用力将轮椅上的老人前推然后松手放任轮椅上的老人撞墙磕碰和故意推着轮椅上的老人撞墙的行为。老人无明显反应。,9.0,10.0,否,,2024-08-29 10:09:40
Abuse003_x264.mp4,LLM,30.0,153.0,在走廊里，一个穿着黑色短袖的女人粗暴地推着一个坐在轮椅上的老人，反复松开手，让轮椅撞到墙壁，导致老人的头因碰撞而摇晃。尽管老人无法移动，这名女性并不表现出任何关心或在意，可能存在忽视或虐待行为。,,,,,
Abuse004_x264.mp4,人工,24.0,510.0,"视频描述了虐待殴打的犯罪行为。在一个狭小的房间内，一个穿着紫色上衣灰色长裤的男子A坐在椅子上，两个身穿黑色制服的光头男子B和C打开门，B进入房间拿出棍子对该A进行殴打，A逃向门口方向进行躲避被站在门口的C阻拦,最后A在房间的角落被B用棍子不断抽打，期间C对他进行了踢踹。持续一段时间后A疑似蜷缩在角落，BC时不时对A进行殴打踢踹，期间BC多次轮流去门口查探情况。最后A疑似倒在角落。",8.0,6.0,否,,2024-08-29 10:55:13
Abuse004_x264.mp4,LLM,16.0,38.0,视频中描绘了警察对被羁押者进行严重的身体虐待。在一个封闭空间内，穿着黑色制服的两名秃顶警官最初与一名穿着蓝色衬衫、灰绿色长裤和黑色运动鞋的男性被羁押者互动。一名警官向囚犯喷洒一种未知物质，囚犯倒退以示反应。随后警官们强行制服了囚犯，一人使用棍棒猛烈殴打他，另一人协助制服和打击他。囚犯试图反抗，但被警官压倒，并再三殴打，使其陷入困境，无助挣扎。,,,,,
Abuse005_x264.mp4,LLM,14.0,30.0,监狱内发生了虐待行为。一名监狱警卫进入一个房间后返回，开始了一个侵略性行为，踢了一把椅子。然后他试图进入一个小屋，但被另一名胖警卫阻止了。警卫们强行按住一个男人，头上戴着一个白色塑料袋，按在桌子上。一名警卫踩在这个男人的脖子上施加压力，其他警卫则在旁观而没有干预。,,,,,
Abuse005_x264.mp4,人工,22.0,30.0,视频中出现了暴力虐待事件，在一个房间内，一个头上套着袋子身穿粉衣的人被两名身穿短袖制服的男人双手反绑，压在桌子上，在他的身后还有一个穿着制服的男人在旁观。视频右下角出现一个穿着同样制服的男子跳上桌子将一只脚踩在他的脖子上,9.0,9.0,否,,2024-08-29 11:09:50
Abuse006_x264.mp4,LLM,11.0,159.0,这段视频展示了警察滥用暴力的事件。在一个草地区域，一辆警车到达，两名警官逮捕了一个穿黑衣服的男子。一名警官将男子推到地面上，很快另外的警员加入进来，其中一人踩在男子身上。更多的警员围绕着这个躺着的人，开始重复地殴打和踢他。之后，这名男子被翻转过来，更多的警员赶到，有些站岗，有些查看情况。最终，一名警员拖着这名男子走向一辆白色警车，其他警员跟随。这起暴力行为的持续时间和涉及的警员数量表明了严重的警察暴行事件。,,,,,
Abuse006_x264.mp4,人工,8.0,146.0,"视频描述了暴力殴打事件，在一个红色建筑旁边，一个穿着长袖长裤的男子站在路边，视频右上方行驶来一辆白车，男子弯腰下蹲，车停下后下来一个人将他推倒在地，另一个人快速上前将他压制。画面中陆续有六人，其中四人将他压住殴打踢踹，将其翻身，疑似搜刮他身上的物品，另外两人旁观后离开。随后视频右上角又行驶来第二辆白车，四人中有三人停止殴打搜刮行为站到一旁，第二辆车上下来的人与他们三个站在一起。接着左上角行驶第三辆白车停下,车上下来两人，和先前离开的两人都走向人群，陆续有两人离开画面,一人去第二辆白车疑似取物后返回。此时有一人将男子拎起，另一人疑似在男子头上套了袋子,那人拎起男子往视频左上方走去",8.0,7.0,否,,2024-08-29 12:05:47
Abuse007_x264.mp4,人工,2.0,7.0,在一个大厅中，一个穿个黑色短袖和黑色长裤的健壮男人A迎面走向一个穿着黑色T恤的男人B，A一拳击中B的头部，B被击倒在地，随后站起,5.0,10.0,否,,2024-08-29 14:24:46
Abuse007_x264.mp4,LLM,0.0,35.0,视频中发生了一起身体虐待事件。一个穿着黑色短裤的男子被一个穿着黑制服的高大肌肉男子甩到地上，在走廊里。穿短裤的男子站起来后，被那个强壮男子引领走向门，强壮男子正指指点点。穿短裤的男子回头看了一眼强壮男子，与此同时，另一个人从中间的门出现。强壮男子看起来原本跟着两个男子，但最终转身向相反方向走去，而穿短裤的男子注意到自己的鞋子破了后，继续一定距离地跟随。,,,,,
Abuse008_x264.mp4,LLM,225.0,250.0,在一次警方搜查中出现了虐待行为。一名女警察搜查了一名被拘留者，后来被发现并从她的衣服里拿出一个红色物品。这名女子被强行推回牢房，摔倒并撞到头部。警察们进行了干预，其中一人帮助了这名女子，而其他人则进入和离开现场，照顾这名女子的状况并清洁她的脸。,,,,,
Abuse008_x264.mp4,人工,147.0,155.0,视频中发生了暴力推搡事件，一名身穿蓝色上衣黑色裤子的年轻女子被一个穿着黑色制服的人从背后大力推进一个狭小房间内，头部磕到房间的床上以后滑落在地倒地不起。,9.0,9.0,否,,2024-08-29 14:33:58
Abuse009_x264.mp4,LLM,8.0,27.0,视频中发生了虐待儿童和肢体冲突。在夜晚，一群男子聚集在街头的公告板周围，另一名男子站在他们对面，手持一个孩子。那名男子猛烈将孩子摔到地上，再次将其抱起，将孩子当作武器猛烈撞向其中一名男子。两人因孩子而发生激烈争执，最终导致其中一人再次将孩子猛地摔到地面，然后冲向人群。,,,,,
Abuse009_x264.mp4,人工,8.0,22.0,"视频中发生了虐待行为，在开阔的室外，一个身穿黑色短袖上衣白色短裤的女人抱着一个孩子，然后将手臂平举，将孩子扔在地上,接着又抱起孩子走向一男子将孩子高举疑似用孩子砸该男子,两人争夺孩子。",8.0,8.0,是,22.0,2024-08-29 14:43:17
Abuse010_x264.mp4,人工,3.0,10.0,视频中发生了一个交通意外事件。在道路上一辆轿车正在行驶，在拐弯时从视频左下角窜出一只黑色小狗，小狗被轿车碾压，轿车驶离，小狗抽搐后死亡,9.0,10.0,否,,2024-08-29 14:50:59
Abuse010_x264.mp4,LLM,2.0,14.0,在路上发生了动物虐待事件。两只小狗正在过马路，其中一只被一辆银色汽车撞到，而该驾驶员没有停车。受伤的小狗在地上挣扎，另一只狗开始试图帮助，但最终离开了。一位身穿短裤、卷发的女士介入，指示其他车辆，并救起那只无动于衷的小狗，将其带走。另一只小狗跟着，似乎很担心它的伴侣。,,,,,
Abuse011_x264.mp4,LLM,9.0,57.0,视频中发生了严重的身体虐待。一名男子在房子外面多次袭击一名女性，拉她的头发，把她推下楼梯，并威胁要打她。这名女性试图抵抗并保护自己，但被迫跌倒在地，奋力起身。有时候，他们俩都在地上，男子阻止她上楼。一只黑色的杜宾犬出现了，男子与狗互动后离开又回来，继续打扰女性上楼的努力。最终，女性设法带着狗上了楼梯，却被男子再次推倒。,,,,,
Abuse011_x264.mp4,人工,9.0,56.0,"视频展示了暴力殴打虐待的犯罪行为。在楼梯间，一个穿着长袖长裤的男人把一个穿着背心短裤的女人从房间拖出来,他拉着女人的头发，女人面朝下趴在地上被他从房间拖到楼梯间，在挣扎无果后被他头朝下从楼梯上扔了下去，男人进入房间。她从楼梯滚下，背部撞击墙面，躺了一会后站前，男人从楼梯走下来推搡拉扯她.她坐在地上，男人抓住她的头发拉着她在走廊拖行,女人踢他，挣扎开以后他试图抓住女人的腿。女人站前走上楼梯，他抓住女人的衣服和头发将女人拽下楼梯几度推搡,女人倒在楼梯后他上了楼梯进入房间，随后女人也站起来虚弱的上了楼梯。男人从房间冲出来推倒女人,s随后进入房间，女人后仰摔下楼梯，身体砸在地面。",9.0,9.0,否,,2024-08-29 15:12:07
Abuse012_x264.mp4,人工,10.0,154.0,"在一个摆放多张婴儿床的室内，一个身穿桃红色T恤的黑发女人用拳头多次捶打一个躺在婴儿床上的婴儿的头部并用奶瓶给他喂奶，接着又多次捶打婴儿的身体。将他抱起擦脸后单手拎着婴儿摇晃。随后将婴儿放入床内再次用拳头捶打婴儿头部,疑似用双手掐住婴儿。",8.0,5.0,否,,2024-08-29 15:25:04
Abuse012_x264.mp4,LLM,9.0,54.0,视频中发生了儿童虐待事件。在一个房间里，一个穿着粉色上衣的女人对一个婴儿的摇篮进行了身体侵害。她殴打了这个婴儿，当婴儿安静下来时停止了，用毯子盖住了它，然后进行了暗示关怀的行为，比如调整婴儿车和婴儿的位置。然而，她又开始虐待这个婴儿，摇晃它，捏它的腋下，扇它，甚至用布盖住它的脸。这个女人的行为在暴力行为和假装关心婴儿之间交替进行，包括强行喂食和粗暴处理。,,,,,
Abuse013_x264.mp4,人工,0.0,160.0,"一个穿着红色羽绒服黑色裤子的老师A拎着穿着红色碎花衣服的女孩将她扔到墙边，A倒地不起，接着拎着穿着紫色碎花衣服的女孩B扔到墙边，老师踢A，B踉跄站好后又去踢B，踢完B接着踢A,用手打B头部后踢A，然后将A拉起，A站立不稳倒地后自己站起,老师又用手打A的身体和头脸拖拽A。AB靠墙罚站一会后重新回到队伍跟着老师同学一起跳舞.随后老师又抓住AB的辫子拖拽致使A摔倒，她把A拎起以后抽打A的脸部，将A推倒,A自己站起。",9.0,9.0,否,,2024-08-29 15:52:36
Abuse013_x264.mp4,LLM,0.0,127.0,在一间教室里，一位老师对多名幼儿园儿童进行身体虐待。老师拽着孩子的耳朵，让他们跪下，把他们摔到墙上，踢他们，拍打他们的头部，并用手指击打他们。受虐待的孩子表现出痛苦，其中一个孩子难以站起来。尽管暴力行为，课堂仍在继续，老师不时地让孩子们参与诸如跳舞等活动。虐待循环重复，老师拉走更多孩子并对他们进行身体惩罚，将一个孩子推倒在地。这些孩子，包括那些受虐待的孩子，在暴力中继续参与活动。,,,,,
Abuse014_x264.mp4,LLM,50.0,66.0,视频中发生了动物虐待事件。一位白发的老人穿着白色衬衫和黑色裤子，在绿色垃圾桶旁与一只黑色小猫互动。起初，他轻轻地抚摸着小猫，但随后，一辆车经过时，他突然把小猫扔进垃圾桶，然后走开了。,,,,,
Abuse014_x264.mp4,人工,21.0,46.0,这个视频疑似发生了虐待动物的犯罪行为，在路边，一个穿着白色T恤黑色裤子的女子吸引了一只狸花猫，她抚摸猫之后一手拎着猫，一手打开绿色垃圾箱将猫扔了进去接着扬长而去,5.0,10.0,否,,2024-08-29 15:58:48
Abuse015_x264.mp4,LLM,92.0,203.0,视频中发生了一起警察不当行为的事件。在一个房间里，三名穿着黑色和灰色牛仔裤的男子被三名警察监视。一名警察最初查看了一个靠在墙边的男子，而一位肥胖的警察擦了擦额头后走进前台房间。随后，一名穿着黑色鞋子的警察从三个男子中捡起物品，然后回到原位。在一连串的动作之后，黑鞋警察与白鞋警察发生了冲突，两人开始打架。一名矮胖的警察介入，看着他们，但没有立即干预。最终，黑鞋警察控制住了白鞋警察，其他警察开始对三名男子进行搜身并逐个带出房间。整个过程中，三名男子和警察之间的互动显得混乱而紧张。,,,,,
Abuse015_x264.mp4,人工,93.0,106.0,视频描述了一个暴力虐待事件。一个穿着白色上衣和深色裤子的年轻人被双手反绑站在一个站在室内的走廊内，他踢了一下脚，随后身边的的年轻警察快速从他的身后把他放到，接着扭了他的双腿，他躺倒在地。,8.0,7.0,否,,2024-08-29 16:12:45
Abuse016_x264.mp4,人工,3.0,45.0,视频描述了一个虐待动物盗窃的犯罪行为。在一户人家的庭院外停着一辆银色面包车，车内两个戴着帽子身穿短袖长裤的男人通过翻墙进入庭院，用手上的工具勒住庭院中两只黄狗的脖子，接着两人再次翻墙出了庭院，用工具勒住两只黄狗将其带出庭院塞进面包车扬长而去。,10.0,10.0,否,,2024-08-29 16:20:12
Abuse016_x264.mp4,LLM,22.0,45.0,视频中发生了虐待动物的行为。一开始，有两只狗在院子里，一只黄色的狗躺在大门上，另一只狗在附近。一辆货车到达，两名男子下车。当他们进入院子时，黄色狗和另一只狗变得防御性。一名男子试图捉住一只狗，而另一名手持木棍的男子追赶另一只狗。被追赶的狗咬伤了男子，使他后退。然后两名男子跳过围墙，把狗拖着跳下去，在过程中勒死了它们。最终，他们把狗装上货车，开走了。,,,,,
Abuse017_x264.mp4,人工,3.0,58.0,"视频描述了一个暴力虐待的犯罪行为。在一个室内，一个穿着长袖和蓝色长裤,坐在椅子上的人把坐在他旁边椅子上的穿着橙色衣服的男孩推下椅子，男孩摔倒在地后站起，他坐到男孩的椅子上抽打男孩的脸.他站起走两步以后回到座位，又抽打男孩的脸和身体.男孩捂脸站着,然后他从后面大力击打男孩的身体，男孩摔倒,他用脚几度踢踹男孩后坐回椅子。男孩趴在地上,他站起走过去踢踹男孩，单手抓着男孩的一只手臂将他提起放到一旁",9.0,9.0,否,,2024-08-29 16:32:31
Abuse017_x264.mp4,LLM,3.0,64.0,视频中发生了对一个孩子的严重身体虐待。在一个有收银员的场景中，一个穿着白色上衣的女人一再殴打一个穿橙色衣服的孩子，推搡、打击和踢这个孩子，导致孩子哭泣并摔倒在地。尽管目睹了虐待行为，收银员仍然漠不关心，整个事件期间继续使用手机。,,,,,
Abuse018_x264.mp4,人工,53.0,81.0,"视频中描述了一个暴力事件，在路边，一个身穿红衣的男人坐在商店外面，从视频右边行驶来一辆白车，车上下来一个穿着黑色制服的警察.他起身要走，被警察一脚踢中腹部仰倒在地上,随后把他翻过身使他趴在地上,将他的一只手反扣在他的身后。",1.0,10.0,否,,2024-08-29 16:48:14
Abuse018_x264.mp4,LLM,59.0,70.0,在一条繁忙的街道上发生了一起袭击事件。一个穿着黑色和红色衬衫的男子坐在一个棕色门附近的墙上。当一名身穿白色制服的警察从他的车里出来时，墙上的男子向警察冲去，可能怀有恶意。警察迅速做出反应，踢击了这名男子，使他摔倒并头部撞在地上。然后警察走近倒地的人，戴上手套控制住他，将他翻过来，给他戴上手铐。,,,,,
Abuse019_x264.mp4,LLM,110.0,131.0,一位躺在医院病床上的老人在换尿布过程中变得焦躁和抵触。他试图打击和拉住护理人员，一位穿着白色上衣的女性和另一位女性。护理人员试图约束和安抚这位老人，但他踢了她们，造成了困扰。这种情况对护工来说是混乱而具有挑战性的。,,,,,
Abuse019_x264.mp4,人工,30.0,127.0,"这个视频疑似发生了虐待老人的行为。在一个昏暗的卧室内，一个躺在床上的老人对着他右边的女性护工吐口水,女性护工几次伸出手疑似回击他。老人坐在床边,护工疑似对他吐口水。经过护工擦洗之后老人躺回床上,老人身后打护工,被护工控制住双手,老人挣脱，用脚踢护工,护工抓住老人的双腿。老人穿上衣服侧躺在床上，护工抓住他的腿，把他翻过身，她的一只手抓住老人的一只手，另一只手疑似抽打老人面部，老人踢了另一位女性护工起身坐起，两个护工离开",4.0,5.0,否,,2024-08-29 17:11:44
Abuse020_x264.mp4,LLM,0.0,58.0,视频中发生了家庭暴力和恐吓事件。一个穿着白衬衫的男子在床上坐着的女性进行了身体上的攻击，击打她的胸部，后来还扇了她的头。这名男子短暂地帮助女性穿衣服，但也对她进行了限制和威胁，警告她不要离开，意味着如果她离开会受到进一步伤害。,,,,,
